Sex,Age,Height,Weight,NOC,Year,Season,City,Medal,Event
F,21,,,KSA,2020,Summer,Tokyo,,Judo Women's Half-Middleweight
F,35,1.68,,YEM,2020,Summer,Tokyo,,"Shooting Women's Air Rifle, 10 metres"
M,57,,,KUW,2020,Summer,Tokyo,Bronze,"Shooting Men's Small-Bore Rifle, Prone, 50 metres"
M,27,,,KUW,2020,Summer,Tokyo,,"Shooting Men's Small-Bore Rifle, Prone, 50 metres"
M,23,1.88,,KSA,2020,Summer,Tokyo,,Football Men's Football
F,26,,,JOR,2020,Summer,Tokyo,,Taekwondo Women's Flyweight
M,24,1.75,,KSA,2020,Summer,Tokyo,,Weightlifting Men's Lightweight
M,29,1.76,,BRN,2020,Summer,Tokyo,,Handball Men's Handball
M,32,1.76,,BRN,2020,Summer,Tokyo,,Handball Men's Handball
M,28,1.7,,KSA,2020,Summer,Tokyo,,Football Men's Football
F,22,,,KUW,2020,Summer,Tokyo,,Athletics Women's 100 metres
M,24,,,KAZ,2020,Summer,Tokyo,,Water Polo Men's Water Polo
F,31,1.57,,GER,2020,Summer,Tokyo,,Hockey Women's Hockey
F,25,1.68,,AUT,2020,Summer,Tokyo,,Rowing Women's Coxless Pairs
F,32,,,BRA,2020,Summer,Tokyo,,Judo Women's Half-Middleweight
M,35,,,ARG,2020,Summer,Tokyo,,Table Tennis Men's Team
M,21,1.7,,KSA,2020,Summer,Tokyo,,Football Men's Football
M,25,1.86,,UKR,2020,Summer,Tokyo,,Men's Canoe Sprint
F,18,1.59,,CRC,2020,Summer,Tokyo,,Women's Artistic Gymnastics
M,22,1.76,,MEX,2020,Summer,Tokyo,Bronze,Football Men's Football
F,24,1.7,,USA,2020,Summer,Tokyo,,Women's Artistic Swimming
M,36,,,ESP,2020,Summer,Tokyo,,Men's Equestrian
M,31,2.1,,DOM,2020,Summer,Tokyo,Bronze,Men's Baseball/Softball
M,30,1.75,,USA,2020,Summer,Tokyo,Silver,Men's Baseball/Softball
